date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:29	540/540	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:b08441ed822afe6aff8e3f900fa85565%22	https://rokiovertime.com/robots.txt		(from )
07:58:29	849282/849282	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:00fe92376870672d1c546a5648772857%22	https://rokiovertime.com/es-espanol	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/es-espanol.html	(from )
07:58:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2012:58:29%20GMT	http://rokiovertime.com/cdn/shop/files/Insta_Logo_White.png?crop=center&height=32&v=1678017832&width=32	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/files/Insta_Logo_White.1829c.delayed	(from https://rokiovertime.com/es-espanol)
07:58:29	2027/2027	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Sep%202023%2001:48:22%20GMT	https://rokiovertime.com/cdn/shop/files/Insta_Logo_White.png?crop=center&height=32&v=1678017832&width=32	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/files/Insta_Logo_White829c.png	(from https://rokiovertime.com/es-espanol)
07:58:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2012:58:30%20GMT	http://rokiovertime.com/cdn/shop/t/18/assets/constants.js?v=58251544750838685771696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/constants59e4.js	(from https://rokiovertime.com/es-espanol)
07:58:29	426/426	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2030%20Sep%202023%2004:13:06%20GMT	https://rokiovertime.com/cdn/shop/t/18/assets/constants.js?v=58251544750838685771696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/constants59e4.js	(from https://rokiovertime.com/es-espanol)
07:58:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2012:58:30%20GMT	http://rokiovertime.com/cdn/shop/t/18/assets/pubsub.js?v=158357773527763999511696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/pubsub0cf5.js	(from https://rokiovertime.com/es-espanol)
07:58:30	758/758	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2030%20Sep%202023%2003:17:43%20GMT	https://rokiovertime.com/cdn/shop/t/18/assets/pubsub.js?v=158357773527763999511696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/pubsub0cf5.js	(from https://rokiovertime.com/es-espanol)
07:58:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2012:58:31%20GMT	http://rokiovertime.com/cdn/shop/t/18/assets/global.js?v=139248116715221171191696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/globalb45b.js	(from https://rokiovertime.com/es-espanol)
07:58:30	40904/40904	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2030%20Sep%202023%2003:17:43%20GMT	https://rokiovertime.com/cdn/shop/t/18/assets/global.js?v=139248116715221171191696043122	D:/proyecto1/RokiOvertime/RokiOvertime/rokiovertime.com/cdn/shop/t/18/assets/globalb45b.js	(from https://rokiovertime.com/es-espanol)
